Date/Time To,Date/Time To(New),App Registrations,Total_reg,QR Codes Generated,NZBN Registered Businesses,Scans,Manual Entries,Scan and manual Usage_perday,Active Devices,Bluetooth Active (24hr),Sca/manual/blutoo Total usagePerday,Avg scans per Avtive divices,Avg manual entries per Avtive Device,Scans per Active device,Manual entry per active device,Active device/Cumulative registrations,Bluetooth active/cumulative registrations
20/05/2020 12:00,5/20/2020,92595,92595,,,1407,0,1407,,,1407,,,,,,
21/05/2020 12:00,5/21/2020,143405,236000,5800,11411,11411,0,11411,,,11411,,,,,,
22/05/2020 12:00,5/22/2020,57000,293000,4892,23561,23561,0,23561,,,23561,,,,,,
23/05/2020 12:00,5/23/2020,31000,324000,1528,30275,30275,0,30275,,,30275,,,,,,
24/05/2020 12:00,5/24/2020,30000,354000,,,31444,0,31444,,,31444,,,,,,
25/05/2020 12:00,5/25/2020,26000,380000,,,29426,0,29426,,,29426,,,,,,
26/05/2020 12:00,5/26/2020,25000,405000,3330,,31629,0,31629,,,31629,,,,,,
27/05/2020 12:00,5/27/2020,17000,422000,1510,,36794,0,36794,,,36794,,,,,,
28/05/2020 12:00,5/28/2020,14000,436000,1200,,39216,0,39216,,,39216,,,,,,
29/05/2020 12:00,5/29/2020,10000,446000,1270,,43473,0,43473,,,43473,,,,,,
30/05/2020 12:00,5/30/2020,12000,458000,,,48091,0,48091,,,48091,,,,,,
31/05/2020 12:00,5/31/2020,10000,468000,1097,10679,51353,0,51353,,,51353,,,,,,
1/6/2020 12:00,6/1/2020,8000,476000,,,41061,0,41061,,,41061,,,,,,
2/6/2020 12:00,6/2/2020,6000,482000,588,301,41382,0,41382,,,41382,,,,,,
3/6/2020 12:00,6/3/2020,5000,487000,2797,,39801,0,39801,,,39801,,,,,,
4/6/2020 12:00,6/4/2020,8000,495000,,,43562,0,43562,,,43562,,,,,,
5/6/2020 12:00,6/5/2020,6000,501000,8061,4805,45368,0,45368,,,45368,,,,,,
6/6/2020 12:00,6/6/2020,10645,511645,,,49272,0,49272,,,49272,,,,,,
7/6/2020 12:00,6/7/2020,5355,517000,,,50110,0,50110,,,50110,,,,,,
8/6/2020 12:00,6/8/2020,5000,522000,5431,2722,47585,0,47585,,,47585,,,,,,
9/6/2020 12:00,6/9/2020,13000,535000,3199,1227,43688,0,43688,,,43688,,,,,,
10/6/2020 12:00,6/10/2020,6000,541000,2619,805,41358,0,41358,,,41358,,,,,,
11/6/2020 12:00,6/11/2020,5000,546000,1778,368,40404,0,40404,,,40404,,,,,,
12/6/2020 12:00,6/12/2020,4000,550000,1600,193,36798,0,36798,,,36798,,,,,,
13/06/2020 12:00,6/13/2020,2000,552000,777,330,30559,0,30559,,,30559,,,,,,
14/06/2020 12:00,6/14/2020,2000,554000,358,171,26429,0,26429,,,26429,,,,,,
15/06/2020 12:00,6/15/2020,3000,557000,1038,435,26643,0,26643,,,26643,,,,,,
16/06/2020 12:00,6/16/2020,1000,558000,3480,1877,27261,0,27261,,,27261,,,,,,
17/06/2020 12:00,6/17/2020,4000,562000,4199,1729,33006,0,33006,,,33006,,,,,,
18/06/2020 12:00,6/18/2020,3000,565000,3136,975,35471,0,35471,,,35471,,,,,,
19/06/2020 12:00,6/19/2020,4000,569000,2491,815,34190,0,34190,,,34190,,,,,,
20/06/2020 12:00,6/20/2020,2000,571000,878,352,24013,0,24013,,,24013,,,,,,
21/06/2020 12:00,6/21/2020,2000,573000,103,61,15886,0,15886,,,15886,,,,,,
22/06/2020 12:00,6/22/2020,3000,576000,516,180,18052,0,18052,,,18052,,,,,,
23/06/2020 12:00,6/23/2020,1000,577000,10081,259,19599,0,19599,,,19599,,,,,,
24/06/2020 12:00,6/24/2020,2000,579000,790,212,19163,0,19163,12169,,19163,1.574739091,,1.574739091,0,0.021017271,
25/06/2020 12:00,6/25/2020,1000,580000,284,118,17780,0,17780,13146,,17780,1.352502662,,1.352502662,0,0.022665517,
26/06/2020 12:00,6/26/2020,1000,581000,316,97,16174,0,16174,11988,,16174,1.349182516,,1.349182516,0,0.020633391,
27/06/2020 12:00,6/27/2020,1000,582000,138,58,12096,0,12096,9009,,12096,1.342657343,,1.342657343,0,0.015479381,
28/06/2020 12:00,6/28/2020,1000,583000,31,19,9925,0,9925,7329,,9925,1.354209305,,1.354209305,0,0.012571184,
