Date,Negative,Neutral,Positive
2020-07-19,2.0,0.0,1.0
2020-07-26,7.0,0.0,5.0
2020-08-02,27.0,0.0,18.0
2020-08-09,35.0,0.0,11.0
2020-08-16,626.0,4.0,190.0
2020-08-23,216.0,1.0,75.0
2020-08-30,118.0,3.0,65.0
2020-09-06,98.0,2.0,70.0
2020-09-13,72.0,1.0,40.0
2020-09-20,45.0,0.0,18.0
2020-09-27,15.0,0.0,24.0
2020-10-04,12.0,1.0,17.0
2020-10-11,9.0,2.0,9.0
2020-10-18,29.0,1.0,10.0
2020-10-25,82.0,2.0,29.0
2020-11-01,24.0,2.0,11.0
2020-11-08,39.0,1.0,12.0
2020-11-15,57.0,4.0,19.0
2020-11-22,47.0,1.0,27.0
2020-11-29,32.0,1.0,32.0
2020-12-06,19.0,0.0,14.0
2020-12-13,90.0,2.0,54.0
2020-12-20,54.0,3.0,17.0
2020-12-27,28.0,1.0,10.0
2021-01-03,24.0,0.0,9.0
2021-01-10,28.0,0.0,9.0
2021-01-17,27.0,2.0,16.0
2021-01-24,43.0,0.0,25.0
2021-01-31,58.0,3.0,19.0
2021-02-07,21.0,0.0,16.0
2021-02-14,38.0,0.0,21.0
2021-02-21,61.0,1.0,20.0
2021-02-28,24.0,1.0,20.0
2021-03-07,18.0,0.0,14.0
2021-03-14,23.0,1.0,42.0
2021-03-21,12.0,1.0,26.0
2021-03-28,19.0,0.0,14.0
2021-04-04,21.0,0.0,10.0
2021-04-11,11.0,0.0,23.0
2021-04-18,11.0,1.0,15.0
2021-04-25,11.0,1.0,9.0
2021-05-02,9.0,0.0,6.0
2021-05-09,6.0,0.0,13.0
2021-05-16,6.0,0.0,8.0
2021-05-23,10.0,0.0,4.0
2021-05-30,9.0,1.0,7.0
2021-06-06,4.0,0.0,8.0
2021-06-13,0.0,0.0,10.0
2021-06-20,4.0,0.0,2.0
2021-06-27,14.0,0.0,10.0
2021-07-04,8.0,0.0,10.0
2021-07-11,5.0,0.0,3.0
2021-07-18,3.0,1.0,7.0
2021-07-25,0.0,0.0,9.0
2021-08-01,1.0,0.0,7.0
2021-08-08,4.0,0.0,6.0
2021-08-15,3.0,0.0,6.0
2021-08-22,32.0,1.0,17.0
2021-08-29,28.0,1.0,11.0
2021-09-05,14.0,1.0,13.0
2021-09-12,15.0,2.0,14.0
2021-09-19,14.0,1.0,9.0
2021-09-26,15.0,0.0,13.0
2021-10-03,14.0,1.0,6.0
2021-10-10,17.0,1.0,14.0
2021-10-17,11.0,1.0,8.0
2021-10-24,6.0,1.0,10.0
2021-10-31,11.0,0.0,12.0
2021-11-07,6.0,0.0,8.0
2021-11-14,4.0,0.0,7.0
2021-11-21,14.0,0.0,20.0
2021-11-28,20.0,0.0,14.0
2021-12-05,25.0,0.0,17.0
2021-12-12,12.0,0.0,10.0
2021-12-19,16.0,2.0,8.0
2021-12-26,11.0,0.0,10.0
2022-01-02,5.0,0.0,6.0
2022-01-09,1.0,0.0,3.0
