Date,NEGATIVE,NEUTRAL,POSITIVE
2020-07-19,2.0,0.0,1.0
2020-07-26,9.0,0.0,3.0
2020-08-02,31.0,0.0,14.0
2020-08-09,36.0,0.0,10.0
2020-08-16,644.0,16.0,160.0
2020-08-23,204.0,5.0,83.0
2020-08-30,129.0,6.0,51.0
2020-09-06,97.0,3.0,70.0
2020-09-13,73.0,2.0,38.0
2020-09-20,45.0,4.0,14.0
2020-09-27,19.0,0.0,20.0
2020-10-04,15.0,2.0,13.0
2020-10-11,11.0,3.0,6.0
2020-10-18,29.0,1.0,10.0
2020-10-25,83.0,2.0,28.0
2020-11-01,24.0,3.0,10.0
2020-11-08,38.0,3.0,11.0
2020-11-15,59.0,3.0,18.0
2020-11-22,46.0,2.0,27.0
2020-11-29,31.0,3.0,31.0
2020-12-06,22.0,1.0,10.0
2020-12-13,88.0,6.0,52.0
2020-12-20,56.0,2.0,16.0
2020-12-27,27.0,1.0,11.0
2021-01-03,22.0,2.0,9.0
2021-01-10,25.0,0.0,12.0
2021-01-17,30.0,0.0,15.0
2021-01-24,40.0,2.0,26.0
2021-01-31,55.0,4.0,21.0
2021-02-07,22.0,1.0,14.0
2021-02-14,37.0,0.0,22.0
2021-02-21,62.0,3.0,17.0
2021-02-28,24.0,1.0,20.0
2021-03-07,18.0,1.0,13.0
2021-03-14,22.0,2.0,42.0
2021-03-21,14.0,1.0,24.0
2021-03-28,19.0,1.0,13.0
2021-04-04,17.0,1.0,13.0
2021-04-11,9.0,0.0,25.0
2021-04-18,10.0,2.0,15.0
2021-04-25,10.0,1.0,10.0
2021-05-02,8.0,0.0,7.0
2021-05-09,8.0,1.0,10.0
2021-05-16,6.0,0.0,8.0
2021-05-23,8.0,0.0,6.0
2021-05-30,8.0,1.0,8.0
2021-06-06,3.0,0.0,9.0
2021-06-13,1.0,1.0,8.0
2021-06-20,2.0,0.0,4.0
2021-06-27,12.0,2.0,10.0
2021-07-04,6.0,0.0,12.0
2021-07-11,5.0,0.0,3.0
2021-07-18,3.0,2.0,6.0
2021-07-25,4.0,0.0,5.0
2021-08-01,1.0,1.0,6.0
2021-08-08,4.0,0.0,6.0
2021-08-15,2.0,0.0,7.0
2021-08-22,24.0,3.0,23.0
2021-08-29,22.0,3.0,15.0
2021-09-05,13.0,3.0,12.0
2021-09-12,11.0,3.0,17.0
2021-09-19,11.0,4.0,9.0
2021-09-26,15.0,0.0,13.0
2021-10-03,12.0,1.0,8.0
2021-10-10,15.0,3.0,14.0
2021-10-17,8.0,0.0,12.0
2021-10-24,8.0,1.0,8.0
2021-10-31,10.0,0.0,13.0
2021-11-07,7.0,1.0,6.0
2021-11-14,4.0,0.0,7.0
2021-11-21,8.0,1.0,25.0
2021-11-28,17.0,1.0,16.0
2021-12-05,20.0,4.0,18.0
2021-12-12,11.0,0.0,11.0
2021-12-19,14.0,0.0,12.0
2021-12-26,9.0,2.0,10.0
2022-01-02,6.0,0.0,5.0
2022-01-09,1.0,0.0,3.0
