content,sentiment_labels
feature search hotspot location able function properly days since update map location even showed disappointed,-1
good,2
easy scan,2
good lindungi diri lindungi semua,2
"Extremely happy with the experience. They deliver early and quick, hassle 
free navigation on the app and loads and loads of offers all the time.",2
fast efficient data processing excuse using,2
nice super get,2
bad,-1
mom small kids writing workout schedule meal plan mention grocery lists taking kids store cooking boring healthy food much extra work first found takes work life workout plans videos timer built art shows records many exercises many calories burned self love meal plans pick type diet want foods know like set meals make grocery list amazing glad found app,2
genuine product,2
This is really special,2
ok,1
slow download,-1
fast user friendly,2
disappointed tried send message kept saying message entered phone call ever happened either,-1
open like bit,1
good nice app purchase cosmetics vll get know new products market,2
game makes watch ad figure chosen half time gets wrong fun get answer way game works fully free waste money game,-1
scanner useless,-1
convenient apps easy register,2
useful,2
nice products,2
good,2
smooth,2
unstable app fix servers lah please,-1
awesome,2
Very slow,-1
product quality good price goes,2
previously application eating less battery consumption estimated phone high intensive,-1
ok,1
like sejahtere,2
new,1
eazy n fast,2
hello filter connected filter breaker please fix problem,1
ok,1
great,2
Remove undeserving star kids from your endorsements and promote real hard working talent who are outsiders of bollywood industry.,-1
bagus berguna functional,-1
good,2
fast friendly app,2
big chance survival literally died instantly spawning controls handy either,2
nice,1
dulu aku pergi kedai bawak duit sekarang kene bawak natang ni masalah tak selesai sampai sekarang completely useless,-1
smooth operational convenient app government app,2
user friendly app,1
best app,2
ca receive email reply message,1
like,2
kmm come device enable secure register maintain statistics premises attract crowd especially mall supermarket forgotten mosque premises reach significant crowd herd management implement crowd dispersal staging mode tq,-1
Excellent,2
sad thing people still want download make easy,2
update everything working well,2
many bugs could register,-1
apps awesome user friendly provided necessary informations,2
excellent,2
faster info latest,2
please describe location status profile change colour,-1
easy use,2
good app works well,2
First order shipping fee is there.,-1
nice app,1
best online cosmetic site,2
amazing experience,2
great great importantly cured note night clock issue night clock display alarm active issue small alarm widget toggle alarm edit time go app great,2
friendly user,1
ok j,1
Worst delivery,-1
great,2
user friendly especially daily updates include app,1
Awesome app,2
follow govt order safe hopefully,2
problem mysejahtera full vaccinated certificate name place ppv wrong update helpdesk unfortunately morning digital certificate gone,-1
love it,2
Really good addictive game. Me girlfriend constantly playing downfall sometimes watch videos free money dont emd getting it. Has happened numerous times great game,2
effecient fast,2
ok,1
fast,2
Excellent app to shop online,2
new world dude deal follow sop,2
Ordered few items from nyka and with that I was getting free Maybelline lipstick and cleansing water ..I confirmed my order ..just after few hours that free deal got cancelled .,-1
dear mysejahtera teams apps well working smoothly far want add office location u put home location profile part indirectly know got new cases covid surrounding office location thank guys keep,2
stupid apps,-1
excellent apps,2
I'm really disappointed with your delivery schedule.. 1st of all you guyzz always deliver my product in two parts nd this time your delivery doesn't have change I gave him 100 rupees for nd my package amount was only 93 he doesn't have change I'm seriously fed up with your delivery service.. I always place a order more than 2000 rupees but this you guyzz just really discusting.. poor delivery service..,-1
sejahtera status suddenly shown pus visit high risk area please advise,-1
im try purchase item failed payment received bank statement acc deducted check order shown waiting payment frusted never happen shoope app,-1
till now great. There is issue with the app. My order section never opens and i am unable to track the status of my orders. I have not received 1 out of 4 items and unable to track.,-1
"Be alart guys...if there is any problem during the payments ,you will never see your refund...the customer care people are unhelpful...its a harrasment really...never ordering from this app again...really disappointing...",-1
happen check button nothing happen press please solve problem soon possible,-1
awesome apps,2
lets see,1
why your app is not working. it's happened only after updating the app and now the sale is going on I cant order even a single thing.,-1
good,2
hello written helpdesk since last week far gotten automated response recommending self help solutions appropriately address issue written back helpdesk st july please respond vaccination request still stuck assessment stage despite numerous attempts updating requested info thank edit please add reply helpdesk manual would help reduce anxiety many users know,-1
make check process easy,2
awesome love,2
super fast navigation brand fast easy checkout additional ads bs,2
like codebar humans,2
good,2
okla,1
Pathetic service by Nykaa customer care. No response on my query from last two months. Nykaa doesn't respond after their products are sold. Thanks for fooling loyal customers like us!,-1
can u replace my lipstick with another shade please. bcz already i have that shade.,-1
last two days trying changed passport unfortunately write passport number given dot getting appointment possible help solution,2
alhamdulillah syukur great service,2
trustworthy,2
ok,1
yes love mysejahtera wanna see corona sit impossible wanna goverment treament menteri tell covid live scan anywhere go,2
I ordered products from Nykaa. Firstly i received wrong products and then the condition of the lakme lip crayon i received was really bad. Worst shopping experience ever!,-1
Best product n all can use according to their choices.,2
Great,2
best made day easier scan bar cod need tu write name,2
love history,2
Very bad services..,-1
excellent,2
sgt membantu dan mudah utk digunakan thank,2
much problems bugs always responding,-1
ok fast response helpdesk thank,1
convenient n fast,2
