Date,Content,Rating,Version
1/10/2022,Waste of time,1,6.0.0
1/10/2022,Won't let me update or scan most QR codes,1,6.0.0
1/10/2022,Does what is expected.,5,6.1.0
1/10/2022,App is super helpful and anyone that says otherwise is a little bit messed up in the brain,5,6.1.0
1/10/2022,It's ok. The only thing I find annoying is it doesn't keep a record of places you're definitely going to be at most days regularly such as workplace. It's kind of annoying if you have to scan in 3 or 4 x in a 24hr period.,4,6.1.0
1/8/2022,Helping our loves,5,6.1.0
1/8/2022,"Great logging ability, easy to use. Just wish everyone did!",5,6.1.0
1/8/2022,I'm very disappointed ð that the New Zealand Covid Tracer App doesn't include the my vaccine pass in the app ð¢ I am brassed off angry ð¤ ð ð¡ and frustrated it's not fair could you please fix it hurry up. Every time â² I go to the verification code it becomes invalid I have to get a new code Every time. ð â¹ð,1,6.1.0
1/8/2022,Slow to start up,2,6.1.0
1/8/2022,this is a joke. you can travel the world an it more strict in New Zealand.,1,6.1.0
1/8/2022,"Nobody likes being tracked, but with covid you need it. Covid is adjusting the world population and eliminating the stupid (anti vaxers).",5,6.1.0
1/8/2022,"Intuitive, loading speed has improved and so has qr code recognition though it still has difficulty recognizing older crinkled codes.",5,6.1.0
1/7/2022,Sceptical as of COVID is it jus another government controlled trial screen for this day and ages head count in every country???,3,6.1.0
1/6/2022,If the MoH want us to.use this app more how about disabling or shortening their Splash screen at startup. It's frustrating waiting to use the app at a busy location.,3,6.1.0
1/6/2022,Sometimes slow at opening,4,6.1.0
1/6/2022,"The NZ government got this out very quickly in 2020, with privacy and user control over their data at the core of how it works. I have had to install this on hundreds of phones for my customers, and I really appreciate the more recent change that allows users to use the app without logging in immediately.",5,6.1.0
1/5/2022,"Takes a while to scan, other than that it is great!",4,6.1.0
1/5/2022,if I'm listening to music and open the scanner my phone freezes for 5-15 seconds,1,6.1.0
1/5/2022,I'm only giving it a 5 star because aunty Cindy is cool remember guys spread your legs,5,6.1.0
1/5/2022,disamal at W,1,6.1.0
1/4/2022,"G be been hgbt mm m Several times.yb kk nf m mm mm mm RV hbYe jJ be. V to p dnâo b pp l. Mm, co. Pl it,",1,6.1.0
1/3/2022,Has anybody bothered to tell anyone at Google that their pay app is meant to carry NZ's vaccine pass. Why would we not just use the tracer app instead....,1,6.1.0
1/3/2022,"Doesn't scan codes when I'm out and about, I always have to enter manually.",2,6.1.0
1/3/2022,ð± 8th grade grade k,5,6.1.0
1/3/2022,safety,5,6.1.0
1/2/2022,Bloody stupid and a waste of time,1,6.1.0
1/2/2022,"COVID is no joke this application helps to see where iv been this virus is deadly luckily I'm vaccinated with a vaccine certificate , in four months I'll get a booster ,",5,6.1.0
1/2/2022,gffxy a b and,2,6.1.0
1/2/2022,My Bluetooth tracing won't work,3,6.1.0
1/1/2022,To slow to trke photo,3,6.1.0
1/1/2022,"Great tool, sometimes slow to react just like me",5,6.1.0
1/1/2022,"Edit: Good app but I need to reset my device, how can I backup my data so it is not lost when I do so?",3,6.1.0
1/1/2022,"Would be good if you can store the My Vaccine Pass by other means. Kiwibank still doesn't use Google Pay, Samsung Pay AND Apple Pay.",5,6.1.0
1/1/2022,Love the app I use this all the time,5,6.1.0
12/31/2021,Why isn't it updating g to the new version even though I have to ticked auto update?,2,6.1.0
12/31/2021,"Getting message unfortunately NZ Covid Tracer app has stopped, i have uninstalled and installed half a dozen times, still same, as for loging in again it does not work to log in.",1,6.1.0
12/31/2021,Much improved in the last year & a half. Now successfully scans. Like the ability to open vaccine passport after scanning in.,5,6.1.0
12/29/2021,Easy peasy,5,6.1.0
12/29/2021,Awesome,5,6.1.0
12/29/2021,Helps keeps everyone safe,5,6.1.0
12/28/2021,Don't bother using the link to view vaccination pass. It only works if connected to data or wifi. Ridiculous.,1,6.1.0
12/28/2021,Works well enough then suddenly just won't work. Loses all entries and keeps nothing saved has to be uninstalled and reinstalled to begin working again. Still lose all records of visits so pretty useless,1,6.0.0
12/28/2021,I wish it were just a basic app that works well with any phone.,1,6.1.0
12/27/2021,"Disgusting app disappears on screen no fix offered have to find it in my emails stupid system. And to think that is supposed to be something we have paid the government to produce for us , and can't even get a simple app to work properly",1,6.1.0
12/27/2021,Awesome,4,6.1.0
12/26/2021,Very bad app,1,6.1.0
12/25/2021,Another piece of junk Jacinda had her mates conjure up over their Cauldron of oppression. IMO,1,6.1.0
12/25/2021,Why can't we just have the vaccine pass downloaded straight this app when we request one. It will be much more straightforward than the current procedure to have the vaccine pass on this app. I know of a few elderly people who don't know how to or have a computer to receive the email with the vaccine pass. Please improve ASAP,2,6.1.0
12/25/2021,This is so good so we stay safe,5,6.1.0
12/25/2021,Of course yes,5,6.1.0
12/24/2021,"Taking to long to install, .",1,6.1.0
12/23/2021,Great to keep safe around the city,5,6.1.0
12/23/2021,"Using Samsung Xcover 5,using this app takes a very long time to load and open the app with Android OS,tried with Rippl app and immediately launches when opened.Definitely an issue with this app.Kindly investigate and fix this lagging issue when opening. Thanks",2,6.1.0
12/23/2021,Find it useful,5,6.1.0
12/23/2021,A decent app. It has a long load time which is why I'm taking 2 stars off but still very good. It would encourage people to scan if it came to fit bit so you can just turn on the app and scan but sadly this collaboration hasn't happened yet,3,6.1.0
12/23/2021,Can't open it,1,6.1.0
12/22/2021,Excellent app,5,6.1.0
12/22/2021,"Spiffy app, top skills team.",5,6.1.0
12/21/2021,I cannot find the link to my vaccine pass where is it? :),5,6.1.0
12/21/2021,"I have android version 9, and I downloaded the NZ covid tracer app but I can't get it to scan quick release codes, how do I get the NZ covid tracer app to do that ?",3,6.1.0
12/20/2021,Update review...linked Pass to Google pay?? What where how..*reverts back to downloaded version in my photo gallery*,3,6.1.0
12/20/2021,ZAMN,3,6.1.0
12/20/2021,Allgood,5,6.1.0
12/20/2021,"Sorry, I really don't want to but I have to delete this. Have been researching.Commonly known that this is been a boon for Hackers. Since I've had your app I've been hit for the 1st time sorry. Not Prepared to risk my devices don't worry I'm Jabbed, tested, booster, etc. I'm safe, I obey the law. Am really sorry. I mean I am an ex forensic psychologist and music Therapist.",1,6.0.0
12/19/2021,"It works fine, but can take ages to load, which can be VERY annoying",4,6.1.0
12/19/2021,Stalking lying data dealing tyrants,1,5.1.0
12/19/2021,"Updated my version twice, once so apparently I could access my vaccine pass but it has to be in my wallet which I think is only for iPhone which I don't have and it takes forever to open!! So slow. Wish I'd never updated as it just slows down my day. Please fix!",2,6.1.0
12/19/2021,Unreliable app. Doesn't always work and often needs lot of positioning attemps to get it to scan code.,2,6.1.0
12/19/2021,An absolute essential,5,6.0.0
12/19/2021,Alan Thomasen 32 taui street ngongotaha 3010,5,6.1.0
12/18/2021,It's ok.but manual entries for location need to be made quicker. The predictive address system that a lot of apps use would be very helpful. In my job I visit up to 8 places in a day. Majority have no scan in as they are residential properties.,1,6.1.0
12/18/2021,Scanning works well. Ability to show vaccination status needs to be easier - rather than opening a new window/going to Google pay why can't it just be a tab on the bottom of the tracer home screen?,3,6.0.0
12/18/2021,Alot better than on launch.,5,6.0.0
12/17/2021,Terribly incompetent app like the ministry behind it. Made me update it to tell me i can link my vaccine pass but i can't find anyway of doing so. The app itself is so cluttered and clunky. Learn something from Singapore's Trace together app which is so clean simple and links to your tests and vaccine passes smoothly,1,6.1.0
12/17/2021,good,5,6.0.0
12/17/2021,Keeps crashing,1,6.1.0
12/17/2021,How do I put my vaccination pass on my phone?,5,6.1.0
12/17/2021,ððï¸âï¸ðð·ð¯ð²ð¹ï¸,1,6.0.0
12/17/2021,Excellent,5,6.1.0
12/16/2021,"Useful, helpful updates, and great to be part of the team of 5 million",5,6.1.0
12/16/2021,consentual govt surveillance,2,6.1.0
12/16/2021,Very good,5,6.0.0
12/15/2021,Link to open google pay is handy - but would be quicker if it opened the pass not just the google pay app duh,3,6.1.0
12/15/2021,Easy to use,5,6.0.0
12/15/2021,Works most of the time. My Covid Record keeps falling off. Not so easy to use when out if you have to log in to the app each time.,4,6.0.0
12/14/2021,Awesme 2b vanccinated.take it i say,1,6.0.0
12/14/2021,"I'm alittle sceptical about his app because although it has an intention of tracking peoples movements for the purpose of pandemic management, I mind the fact that I have to advise the authorities of my movements. This makes me feel like I am being watched. Which I am and all other New Zealanders. The pros outweigh the cons so I have decided to comply. Better to have big brother watching you than not at all. My questions is, who watches the watchers?",3,6.0.0
12/13/2021,Don't you watch me enough?,1,6.0.0
12/13/2021,"Frustratingly slow to open, even on a modern phone. I wonder if we are being encouraged to scan in with such a poor experience?",3,6.0.0
12/12/2021,"Any chance of integrating the Vaccine Pass into this app, instead of having to open two different apps?",5,6.0.0
12/12/2021,"It would be good to be able to log on to see m vacation status and would be even better if I could get my pass on my new phone, but all I have is problems",5,6.0.0
12/11/2021,Recent phone update uninstalled app. Lost all the data. And today it's disappeared again. Why? ð and I can't add it to my home screen,3,6.0.0
12/10/2021,Needs more dragons ngl,2,6.0.0
12/9/2021,Useless,1,6.0.0
12/9/2021,"Had to install and uninstall several times this week in which I lost all my data. App is not the greatest, and I can understand the people finding it difficult to use, who are not tech savvy.",2,6.0.0
12/8/2021,"Even though I have the app saved on my home screen, it takes approx half a minute to open so that I can scan. I often have to step away from the poster and wait whilst others walk up, open the app and it's almost instant that they can scan. None of my other apps take so long to open so it's not my phone.",4,6.0.0
12/8/2021,Awesome App,5,6.0.0
12/8/2021,"Soooo, App doesn't load on Oppo phone? Odd..",1,6.0.0
12/8/2021,Cool,5,6.0.0
12/8/2021,"í¸ã¡ã.ã¡ã ã :,;",4,6.0.0
12/7/2021,Pretty quick these days,4,6.0.0
12/7/2021,Ever since I installed the app I kept getting lottery scam txt messages to my phone so I uninstalled it won't be downloading it again,1,6.0.0
12/7/2021,Hi we are both happy living at Mac bay in our house for 46 years all is good,5,6.0.0
12/7/2021,Use to much battery,1,6.0.0
